time,position,velocity,energy
0,1,0,0.5
0.1,0.995,-0.09975,0.49998753125
0.2,0.98005,-0.19850250000000003,0.499950622503125
0.30000000000000004,0.9552995,-0.295269975,0.4998907464183753
0.4,0.920996005,-0.38908475025,0.49981029205153243
0.5,0.87748254995,-0.4790086779975,0.49971246953183346
0.6000000000000001,0.8251942694005,-0.564142518965025,0.4996011819778143
0.7000000000000001,0.764654046156995,-0.6436349347428998,0.4994808697628803
0.8,0.69646728245192,-0.7166910011733455,0.49935633334440743
0.9,0.6213158459223258,-0.7825801575920578,0.4992325417254927
1,0.5399512509335084,-0.8406435124348495,0.49911443419173074
1.1,0.4531871434353559,-0.8903004321532927,0.49900672323371875
1.2000000000000002,0.36189116450284986,-0.931054347550203,0.49891370651868144
1.3,0.2669762739253153,-0.9624977194716112,0.49883909541354876
1.4000000000000001,0.1693916206085276,-0.9843161141983033,0.49878586690141535
1.5,0.07011305108565463,-0.9962913477830124,0.49875614479991554
1.6,-0.029866648948074892,-0.9983036678898914,0.4987511150208991
1.7000000000000002,-0.12954768249232368,-0.9903329513178715,0.4987709782525488
1.8,-0.2279332392116492,-0.9724589052326729,0.4988149419519218
1.9000000000000001,-0.32403946353885826,-0.9448602700951475,0.4988812519674131
2,-0.4169052932306787,-0.9078130322566706,0.49896726252940454
2.1,-0.5056020699901924,-0.8616876640956271,0.4990695418164729
2.2,-0.5892428260498042,-0.8069454192936273,0.49918400888506387
2.3000000000000003,-0.6669911538489178,-0.7441337202986912,0.49930609649914076
2.4000000000000004,-0.7380695701095423,-0.6738806841007682,0.499430933362902
2.5,-0.8017672906690714,-0.5968888410618375,0.49955353848548334
2.6,-0.8574473383219098,-0.5139281096122884,0.49966901992249396
2.7,-0.904552912591529,-0.42582809706661645,0.499772769964597
2.8000000000000003,-0.942612957735233,-0.33346980355027833,0.49986064898511273
2.9000000000000004,-0.9712468733015847,-0.23777681199843745,0.49992915061112236
3,-0.9901683201349205,-0.13970605232661218,0.49997554162774827
3.1,-0.9991880837669072,-0.04023823213152079,0.499997971033427
3.2,-0.9982159665612247,0.05963197038488581,0.49999554389487194
3.3000000000000003,-0.98726168968993,0.15890585319744355,0.49996835705491155
3.4000000000000004,-0.966434795921736,0.25659067747802683,0.4999174952684601
3.5,-0.9359435541943246,0.35170959498382987,0.4998449879207972
3.6,-0.89609287692497,0.4433114165397946,0.4997537280550943
3.7,-0.8472812708863656,0.5304801239303614,0.4996473569399932
3.8000000000000003,-0.7899968521388977,0.6123440300816245,0.4995301187829865
3.9000000000000004,-0.7248124648700407,0.6880844959320714,0.4994066913865384
4,-0.6523799529524834,0.7569441168231976,0.49928199950376756
4.1000000000000005,-0.5734236415054013,0.8182342965460918,0.4991610183407963
4.2,-0.48873309364326506,0.8713421333035252,0.4990485750460274
4.3,-0.3991552148446962,0.9157365487279232,0.4989491561069218
4.4,-0.3055857838976804,0.950973598665042,0.49886672833915013
4.5,-0.20896049511168777,0.9767009126155105,0.49880458061064636
4.6000000000000005,-0.11024560137457827,0.9926612174398238,0.4987651926157778
4.7,-0.01042825162372299,0.9986949100897389,0.49875013593553963
4.800000000000001,0.08949338064336952,0.9947416536387566,0.49876001133147346
4.9,0.18852007910402835,0.9808409806513867,0.4987944247752815
5,0.2856615767736469,0.957131897857503,0.49885200317055584
5.1000000000000005,0.37994645867552895,0.9238514960850441,0.4989304491393249
5.2,0.4704318759906557,0.8813325793517349,0.49902663268743486
5.300000000000001,0.5562129745458759,0.8300003368249084,0.49913671609131627
5.4,0.6364319433556374,0.7703680909298327,0.49925630702315404
5.5,0.7102865927318425,0.7030321641254588,0.4993806338047681
5.6000000000000005,0.7770383761807291,0.6286659156798302,0.4995047357975718
5.7,0.8360197758678085,0.5480130080774033,0.49962366133205244
5.800000000000001,0.8866409777962098,0.46187997039420237,0.4997326652793841
5.9,0.928395769946649,0.37112813300705944,0.4998273983820684
6,0.9608666043976216,0.2766650142898459,0.4999040807893081
6.1000000000000005,0.9837287728046181,0.17943524542973394,0.4999596528730544
6.2,0.9967536534835685,0.0804111241153246,0.4999918973071659
6.300000000000001,0.9998109976276831,-0.019417108440237987,0.49999952753872146
6.4,0.9928702317955209,-0.1190511699113982,0.49998223912148204
6.5,0.9760007636454034,-0.21749471968344442,0.4999407218632954
6.6000000000000005,0.949371287858832,-0.3137633222586562,0.49987663230276325
6.7,0.9132480991936722,-0.40689429161128143,0.49979252761335097
6.800000000000001,0.8679924295365757,-0.49595631804779383,0.4996917635721659
6.9,0.8140568355841135,-0.5800587813038283,0.4995783606644514
7,0.7519806732758101,-0.6583606567468244,0.49945684366622534
7.1000000000000005,0.6823847042347486,-0.7300789256223523,0.4993320611057168
7.2,0.6059648881513396,-0.7944964052416568,0.4992089918070902
7.300000000000001,0.5234854231864172,-0.8509689208085446,0.49909254623536065
7.4,0.43577110398963065,-0.898931747167347,0.49898737056884035
7.5,0.3436990737529478,-0.9379052560544759,0.49889766131662316
7.6000000000000005,0.24819005277873546,-0.9674997123810601,0.4988269978778728
7.7,0.15019913127673576,-0.9874191715838337,0.49877819972379533
7.800000000000001,0.05070621846196871,-0.997464439070769,0.49875321390073835
7.9,-0.049293756537418035,-0.9975350621669965,0.4987530373430419
8,-0.1488007939714306,-0.987630334641554,0.49877767709535803
8.1,-0.24681982346572884,-0.967849303769696,0.49882615003156944
8.200000000000001,-0.3423706547253698,-0.938389779860141,0.4988965220815212
8.3,-0.4344977794377571,-0.8995463581519847,0.4989859854004203
8.4,-0.5222799263557668,-0.8517074728623085,0.4990909704018426
8.5,-0.6048392740102189,-0.7953515128440093,0.49920728818423143
8.6,-0.6813502289245688,-0.7310420376972699,0.49933029766806947
8.700000000000001,-0.7510476815496729,-0.6594221421735579,0.4994550907749514
8.8,-0.8132346573592804,-0.5812080252281102,0.49957668825991286
8.9,-0.867289286595295,-0.49718182803038147,0.49969023838330384
9,-0.9126710229653567,-0.40818381255234887,0.49979121049520087
9.1,-0.9489260491057648,-0.3151039589487928,0.49987557580833947
9.200000000000001,-0.9756918147551152,-0.21887306575574877,0.4999399681467252
9.3,-0.9927006622569146,-0.12045344190514728,0.49998181825605675
9.4,-0.9997825031361447,-0.020829283635494314,0.4999994563169715
9.5,-0.9968665189840134,0.0790031674705136,0.4999921785708391
9.600000000000001,-0.9839818696420419,0.17804558690181638,0.4999602753997303
9.700000000000001,-0.96125740160365,0.275307550464101,0.4999050197401722
9.8,-0.9289203595492217,0.3698164385217446,0.4998286162929813
9.9,-0.8872941138993011,0.46062716219417077,0.4997341135557004
10,-0.8367949271103875,0.5468316142446552,0.4996252821875471
